Index_,Year,Category,Unit,Command,Count_,ObjectId
1,2020,Dispatched Calls,11 Division,West,33713,1
2,2020,Dispatched Calls,12 Division,West,28542,2
3,2020,Dispatched Calls,13 Division,East,24810,3
4,2020,Dispatched Calls,14 Division,West,61571,4
5,2020,Dispatched Calls,22 Division,West,39028,5
6,2020,Dispatched Calls,23 Division,West,31611,6
7,2020,Dispatched Calls,31 Division,West,33506,7
8,2020,Dispatched Calls,32 Division,East,40493,8
9,2020,Dispatched Calls,33 Division,East,28561,9
10,2020,Dispatched Calls,41 Division,East,45215,10
11,2020,Dispatched Calls,42 Division,East,36002,11
12,2020,Dispatched Calls,43 Division,East,42097,12
13,2020,Dispatched Calls,51 Division,West,56083,13
14,2020,Dispatched Calls,52 Division,West,34344,14
15,2020,Dispatched Calls,53 Division,East,30207,15
16,2020,Dispatched Calls,54 & 55 Division,East,56778,16
17,2020,Dispatched Calls,Other,N/A,8788,17
18,2020,Dispatched Calls,PRIME,N/A,65069,18
19,2020,Dispatched Calls,Parking,N/A,128904,19
20,2019,Dispatched Calls,11 Division,West,29386,20
21,2019,Dispatched Calls,12 Division,West,25812,21
22,2019,Dispatched Calls,13 Division,East,23226,22
23,2019,Dispatched Calls,14 Division,West,58519,23
24,2019,Dispatched Calls,22 Division,West,35489,24
25,2019,Dispatched Calls,23 Division,West,30906,25
26,2019,Dispatched Calls,31 Division,West,31480,26
27,2019,Dispatched Calls,32 Division,East,37434,27
28,2019,Dispatched Calls,33 Division,East,27252,28
29,2019,Dispatched Calls,41 Division,East,42046,29
30,2019,Dispatched Calls,42 Division,East,34716,30
31,2019,Dispatched Calls,43 Division,East,39882,31
32,2019,Dispatched Calls,51 Division,West,54642,32
33,2019,Dispatched Calls,52 Division,West,39540,33
34,2019,Dispatched Calls,53 Division,East,27707,34
35,2019,Dispatched Calls,54 & 55 Division,East,56922,35
36,2019,Dispatched Calls,Other,N/A,5904,36
37,2019,Dispatched Calls,PRIME,N/A,77551,37
